證券代碼,年月日,流通在外股數(百萬股),董監持股數
1569 濱川,9/20/2019,112,"18,306"
1570 力肯,9/20/2019,51,"6,899"
1580 新麥,9/20/2019,50,"5,787"
1582 信錦,9/20/2019,123,"11,219"
1583 程泰,9/20/2019,110,"54,904"
1584 精剛,9/20/2019,82,"24,403"
1586 和勤,9/20/2019,80,"10,345"
1587 吉茂,9/20/2019,67,"19,722"
1589 永冠-KY,9/20/2019,105,"14,612"
1590 亞德客-KY,9/20/2019,189,"8,777"
1591 駿吉-KY,9/20/2019,33,"6,347"
1592 英瑞-KY,9/20/2019,110,"53,420"
1593 祺驊,9/20/2019,31,"4,989"
1595 川寶,9/20/2019,47,"7,158"
1597 直得,9/20/2019,81,"10,999"
1598 岱宇,9/20/2019,96,"26,198"
1599 宏佳騰,9/20/2019,73,"5,104"
1603 華電,9/20/2019,191,"8,572"
1604 聲寶,9/20/2019,387,"23,319"
1605 華新,9/20/2019,"3,326","446,572"
1608 華榮,9/20/2019,632,"212,106"
1609 大亞,9/20/2019,595,"31,211"
1611 中電,9/20/2019,398,"33,952"
1612 宏泰,9/20/2019,316,"39,238"
1614 三洋電,9/20/2019,269,"92,042"
1615 大山,9/20/2019,111,"23,985"
1616 億泰,9/20/2019,194,"21,284"
1617 榮星,9/20/2019,144,"71,235"
1618 合機,9/20/2019,240,"85,202"
1626 艾美特-KY,9/20/2019,122,"12,597"
1701 中化,9/20/2019,298,"35,727"
1702 南僑,9/20/2019,294,"122,575"
1707 葡萄王,9/20/2019,136,"17,549"
1708 東鹼,9/20/2019,211,"30,407"
1709 和益,9/20/2019,502,"91,117"
1710 東聯,9/20/2019,885,"91,438"
1711 永光,9/20/2019,547,"109,903"
1712 興農,9/20/2019,420,"46,737"
1713 國化,9/20/2019,150,"21,111"
1714 和桐,9/20/2019,"1,016","98,651"
1717 長興,9/20/2019,"1,240","214,670"
1718 中纖,9/20/2019,"1,621","92,619"
1720 生達,9/20/2019,178,"35,452"
1721 三晃,9/20/2019,222,"29,415"
1722 台肥,9/20/2019,980,"235,986"
1723 中碳,9/20/2019,236,"80,546"
1724 台硝,9/20/2019,127,"57,866"
1725 元禎,9/20/2019,181,"26,714"
1726 永記,9/20/2019,162,"70,844"
1727 中華化,9/20/2019,110,"29,483"
1730 花仙子,9/20/2019,63,"14,521"
1731 美吾華,9/20/2019,132,"36,658"
1732 毛寶,9/20/2019,42,"9,986"
1733 五鼎,9/20/2019,99,"10,017"
1734 杏輝,9/20/2019,167,"25,771"
1735 日勝化,9/20/2019,99,"64,571"
1736 喬山,9/20/2019,303,"191,088"
1737 臺鹽,9/20/2019,200,"88,058"
1742 台蠟,9/20/2019,71,"15,320"
1752 南光,9/20/2019,100,"14,936"
1760 寶齡富錦,9/20/2019,76,"16,209"
1762 中化生,9/20/2019,77,"19,023"
1773 勝一,9/20/2019,150,"74,950"
1776 展宇,9/20/2019,69,"5,805"
1777 生泰,9/20/2019,30,"8,420"
1781 合世,9/20/2019,47,"6,296"
1783 和康生,9/20/2019,69,"8,534"
1784 訊聯,9/20/2019,49,"5,045"
1785 光洋科,9/20/2019,498,"17,626"
1786 科妍,9/20/2019,58,"7,970"
1787 福盈科,9/20/2019,67,"55,101"
1788 杏昌,9/20/2019,36,"9,923"
1789 神隆,9/20/2019,790,"509,202"
1795 美時,9/20/2019,243,"151,182"
1796 金穎生技,9/20/2019,27,"6,194"
1799 易威,9/20/2019,108,"37,881"
1802 台玻,9/20/2019,"2,908","1,260,824"
1805 寶徠,9/20/2019,80,"12,259"
1806 冠軍,9/20/2019,433,"26,706"
1808 潤隆,9/20/2019,308,"28,882"
1809 中釉,9/20/2019,167,"19,199"
1810 和成,9/20/2019,369,"33,917"
1813 寶利徠,9/20/2019,46,"15,265"
1815 富喬,9/20/2019,432,"72,082"
1817 凱撒衛,9/20/2019,72,"13,762"
1902 台紙,9/20/2019,402,"6,215"
1903 士紙,9/20/2019,260,"15,208"
1904 正隆,9/20/2019,"1,108","133,112"
1905 華紙,9/20/2019,"1,102","627,945"
1906 寶隆,9/20/2019,151,"52,839"
1907 永豐餘,9/20/2019,"1,660","96,063"
1909 榮成,9/20/2019,"1,167","420,299"
2002 中鋼,9/20/2019,"15,734","3,170,280"
2006 東和鋼鐵,9/20/2019,"1,004","195,727"
2007 燁興,9/20/2019,530,"387,238"
2008 高興昌,9/20/2019,200,"67,190"
2009 第一銅,9/20/2019,359,"159,799"
2010 春源,9/20/2019,647,"150,286"
2012 春雨,9/20/2019,287,"97,116"
2013 中鋼構,9/20/2019,200,"85,705"
2014 中鴻,9/20/2019,"1,435","582,673"
2015 豐興,9/20/2019,581,"82,444"
2017 官田鋼,9/20/2019,341,"93,986"
2020 美亞,9/20/2019,222,"37,173"
2022 聚亨,9/20/2019,479,"27,197"
2023 燁輝,9/20/2019,"1,913","60,657"
2024 志聯,9/20/2019,97,"24,990"
2025 千興,9/20/2019,281,"34,332"
2027 大成鋼,9/20/2019,"1,233","153,055"
2028 威致,9/20/2019,325,"67,598"
2029 盛餘,9/20/2019,321,"211,220"
2030 彰源,9/20/2019,286,"47,762"
2031 新光鋼,9/20/2019,310,"43,376"
2032 新鋼,9/20/2019,130,"35,412"
2033 佳大,9/20/2019,80,"9,810"
2034 允強,9/20/2019,407,"67,287"
2035 唐榮,9/20/2019,350,"158,178"
2038 海光,9/20/2019,181,"60,387"
2049 上銀,9/20/2019,309,"40,701"
2059 川湖,9/20/2019,95,"16,636"
2061 風青,9/20/2019,58,"12,258"
2062 橋椿,9/20/2019,163,"30,052"
2063 世鎧,9/20/2019,45,"11,590"
2064 晉椿,9/20/2019,70,"11,586"
2065 世豐,9/20/2019,32,"4,409"
2066 世德,9/20/2019,36,"11,860"
2067 嘉鋼,9/20/2019,45,"12,336"
2069 運錩,9/20/2019,157,"11,722"
2070 精湛,9/20/2019,36,"8,533"
2101 南港,9/20/2019,833,"33,397"
2102 泰豐,9/20/2019,473,"40,160"
2103 台橡,9/20/2019,825,"144,973"
2104 國際中橡,9/20/2019,984,"188,445"
2105 正新,9/20/2019,"3,241","385,574"
2106 建大,9/20/2019,874,"231,923"
2107 厚生,9/20/2019,350,"56,608"
2108 南帝,9/20/2019,492,"180,994"
2109 華豐,9/20/2019,332,"48,009"
2114 鑫永銓,9/20/2019,70,"12,883"
2115 六暉-KY,9/20/2019,86,"6,316"
2201 裕隆,9/20/2019,"1,572","564,417"
2204 中華,9/20/2019,"1,384","725,782"
2206 三陽工業,9/20/2019,853,"63,932"
2207 和泰車,9/20/2019,546,"104,208"
2208 台船,9/20/2019,472,"236,742"
2221 大甲,9/20/2019,42,"23,983"
2227 裕日車,9/20/2019,300,"263,500"
