證券代碼,年月日,流通在外股數(百萬股),董監持股數
3049 和鑫,9/20/2019,806,"57,072"
3050 鈺德,9/20/2019,145,"33,909"
3051 力特,9/20/2019,325,"40,989"
3052 夆典,9/20/2019,228,"16,466"
3054 立萬利,9/20/2019,88,"46,140"
3055 蔚華科,9/20/2019,102,"20,031"
3056 總太,9/20/2019,209,"45,767"
3057 喬鼎,9/20/2019,161,"5,741"
3058 立德,9/20/2019,164,"12,589"
3059 華晶科,9/20/2019,274,"14,854"
3060 銘異,9/20/2019,139,"9,878"
3062 建漢,9/20/2019,328,"20,297"
3064 泰偉,9/20/2019,84,"19,712"
3066 李洲,9/20/2019,83,"22,633"
3067 全域,9/20/2019,29,"15,868"
3071 協禧,9/20/2019,120,"45,856"
3073 凱柏實業,9/20/2019,46,"24,767"
3078 僑威,9/20/2019,227,"23,182"
3081 聯亞,9/20/2019,90,"7,664"
3083 網龍,9/20/2019,85,"45,652"
3085 新零售,9/20/2019,118,"23,270"
3086 華義,9/20/2019,61,"23,000"
3088 艾訊,9/20/2019,79,"22,525"
3089 元炬,9/20/2019,60,"15,159"
3090 日電貿,9/20/2019,178,"12,095"
3092 鴻碩,9/20/2019,74,"14,205"
3093 港建,9/20/2019,36,"25,329"
3094 聯傑,9/20/2019,84,"8,118"
3095 及成,9/20/2019,109,"28,741"
3105 穩懋,9/20/2019,424,"26,715"
3114 好德,9/20/2019,56,"11,453"
3115 寶島極,9/20/2019,43,"11,973"
3118 進階,9/20/2019,32,"5,384"
3122 笙泉,9/20/2019,39,"5,640"
3128 昇銳,9/20/2019,42,"8,279"
3130 一零四,9/20/2019,33,"7,304"
3131 弘塑,9/20/2019,29,"6,731"
3141 晶宏,9/20/2019,63,"1,976"
3144 新揚科,9/20/2019,100,"53,413"
3147 大綜,9/20/2019,34,"5,001"
3149 正達,9/20/2019,206,"24,120"
3152 璟德,9/20/2019,69,"15,191"
3162 精確,9/20/2019,126,"55,900"
3163 波若威,9/20/2019,75,"11,843"
3164 景岳,9/20/2019,88,"12,262"
3167 大量,9/20/2019,80,"11,315"
3169 亞信,9/20/2019,54,"1,714"
3171 新洲,9/20/2019,59,"26,273"
3176 基亞,9/20/2019,138,"23,614"
3178 公準,9/20/2019,45,"17,321"
3188 鑫龍騰,9/20/2019,90,"43,026"
3189 景碩,9/20/2019,451,"115,420"
3191 和進,9/20/2019,57,"1,921"
3202 樺晟,9/20/2019,115,"11,046"
3205 佰研,9/20/2019,32,"3,671"
3206 志豐,9/20/2019,53,"12,531"
3207 耀勝,9/20/2019,43,"5,618"
3209 全科,9/20/2019,172,"20,635"
3211 順達,9/20/2019,147,"13,476"
3213 茂訊,9/20/2019,58,"6,298"
3217 優群,9/20/2019,82,"11,653"
3218 大學光,9/20/2019,76,"6,752"
3219 倚強股份,9/20/2019,14,"5,331"
3221 台嘉碩,9/20/2019,102,"16,386"
3224 三顧,9/20/2019,58,"9,386"
3226 至寶電,9/20/2019,64,"39,318"
3227 原相,9/20/2019,137,"7,693"
3228 金麗科,9/20/2019,67,"10,490"
3229 晟鈦,9/20/2019,93,"27,627"
3230 錦明,9/20/2019,107,"17,811"
3231 緯創,9/20/2019,"2,840","83,176"
3232 昱捷,9/20/2019,36,"8,980"
3234 光環,9/20/2019,76,"3,073"
3236 千如,9/20/2019,92,"16,190"
3252 海灣,9/20/2019,50,"7,513"
3257 虹冠電,9/20/2019,69,"10,320"
3259 鑫創,9/20/2019,80,"16,767"
3260 威剛,9/20/2019,219,"12,202"
3264 欣銓,9/20/2019,490,"67,528"
3265 台星科,9/20/2019,136,"71,266"
3266 昇陽,9/20/2019,352,"45,820"
3268 海德威,9/20/2019,33,"4,458"
3272 東碩,9/20/2019,52,"13,323"
3276 宇環,9/20/2019,69,"31,462"
3284 太普高,9/20/2019,55,"6,598"
3285 微端,9/20/2019,44,"9,749"
3287 廣寰科,9/20/2019,43,"17,987"
3288 點晶,9/20/2019,22,"2,862"
3289 宜特,9/20/2019,93,"5,407"
3290 東浦,9/20/2019,99,"10,248"
3293 鈊象,9/20/2019,70,"9,743"
3294 英濟,9/20/2019,132,"57,840"
3296 勝德,9/20/2019,98,"11,929"
3297 杭特,9/20/2019,36,"8,145"
3303 岱稜,9/20/2019,96,"17,956"
3305 昇貿,9/20/2019,119,"17,202"
3306 鼎天,9/20/2019,50,"18,650"
3308 聯德,9/20/2019,98,"30,049"
3310 佳穎,9/20/2019,50,"22,802"
3311 閎暉,9/20/2019,179,"60,757"
3312 弘憶股,9/20/2019,118,"25,369"
3313 斐成,9/20/2019,83,"16,800"
3317 尼克森,9/20/2019,61,"6,442"
3321 同泰,9/20/2019,117,"45,560"
3322 建舜電,9/20/2019,98,"17,314"
3323 加百裕,9/20/2019,83,"9,397"
3324 雙鴻,9/20/2019,84,"16,772"
3325 旭品,9/20/2019,74,"9,152"
3332 幸康,9/20/2019,48,"18,848"
3338 泰碩,9/20/2019,86,"17,392"
3339 泰谷,9/20/2019,96,"13,328"
3346 麗清,9/20/2019,75,"14,896"
3354 律勝,9/20/2019,70,"26,456"
3356 奇偶,9/20/2019,89,"13,158"
3360 尚立,9/20/2019,68,"5,964"
3362 先進光,9/20/2019,111,"21,358"
3363 上詮,9/20/2019,90,"8,440"
3372 典範,9/20/2019,406,"29,830"
3373 熱映,9/20/2019,43,"18,539"
3374 精材,9/20/2019,271,"111,282"
3376 新日興,9/20/2019,179,"26,195"
3379 彬台,9/20/2019,38,"11,866"
3380 明泰,9/20/2019,542,"210,786"
3383 新世紀,9/20/2019,307,"25,155"
3388 崇越電,9/20/2019,74,"25,862"
3390 旭軟,9/20/2019,66,"13,682"
3402 漢科,9/20/2019,73,"15,385"
3406 玉晶光,9/20/2019,100,"14,706"
3413 京鼎,9/20/2019,82,"6,678"
3416 融程電,9/20/2019,72,"33,221"
3419 譁裕,9/20/2019,120,"22,193"
3426 台興,9/20/2019,26,"12,981"
3432 台端,9/20/2019,66,"12,248"
3434 哲固,9/20/2019,22,"5,463"
3437 榮創,9/20/2019,144,"10,864"
3438 類比科,9/20/2019,67,"28,459"
3441 聯一光,9/20/2019,40,"5,481"
3443 創意,9/20/2019,134,"46,688"
3444 利機,9/20/2019,39,"8,479"
3450 聯鈞,9/20/2019,145,"11,247"
3452 益通,9/20/2019,319,"95,061"
3454 晶睿,9/20/2019,86,"45,371"
3455 由田,9/20/2019,61,"7,021"
3465 進泰電子,9/20/2019,21,"9,027"
3466 致振,9/20/2019,60,"9,134"
3479 安勤,9/20/2019,70,"19,549"
3481 群創,9/20/2019,"9,952","176,461"
3483 力致,9/20/2019,57,"3,912"
3484 崧騰,9/20/2019,69,"6,176"
3489 森寶,9/20/2019,83,"56,301"
3490 單井,9/20/2019,63,"4,795"
3491 昇達科,9/20/2019,60,"6,073"
3492 長盛,9/20/2019,35,"13,792"
3494 誠研,9/20/2019,179,"45,736"
3498 陽程,9/20/2019,64,"10,251"
3499 環天科,9/20/2019,54,"12,595"
3501 維熹,9/20/2019,118,"27,310"
3504 揚明光,9/20/2019,114,"46,510"
3508 位速,9/20/2019,102,"7,187"
3511 矽瑪,9/20/2019,49,"9,305"
3512 皇龍,9/20/2019,71,"33,773"
3515 華擎,9/20/2019,120,"57,218"
3516 亞帝歐,9/20/2019,51,"11,903"
3518 柏騰,9/20/2019,80,"8,304"
3520 振維,9/20/2019,38,"6,734"
3521 鴻翊,9/20/2019,46,"10,413"
3522 御頂,9/20/2019,72,"9,497"
3523 迎輝,9/20/2019,72,"14,172"
3526 凡甲,9/20/2019,64,"7,082"
3527 聚積,9/20/2019,40,"7,869"
3528 安馳,9/20/2019,65,"6,369"
3529 力旺,9/20/2019,75,"6,539"
3530 晶相光,9/20/2019,78,"18,676"
3531 先益,9/20/2019,61,"10,231"
3532 台勝科,9/20/2019,387,"289,451"
3533 嘉澤,9/20/2019,103,"20,952"
3535 晶彩科,9/20/2019,79,"14,380"
3536 誠創,9/20/2019,106,"25,638"
3537 堡達,9/20/2019,48,"7,706"
3540 曜越,9/20/2019,66,"12,973"
3541 西柏,9/20/2019,49,"6,263"
3545 敦泰,9/20/2019,299,"16,045"
3546 宇峻,9/20/2019,41,"4,504"
3548 兆利,9/20/2019,60,"9,050"
3550 聯穎,9/20/2019,85,"10,230"
3551 世禾,9/20/2019,56,"9,191"
3552 同致,9/20/2019,85,"15,917"
3555 重鵬,9/20/2019,35,"9,153"
3556 禾瑞亞,9/20/2019,59,"6,843"
3557 嘉威,9/20/2019,92,"30,686"
3558 神準,9/20/2019,49,"19,767"
3562 頂晶科,9/20/2019,78,"24,934"
3563 牧德,9/20/2019,42,"4,375"
3564 其陽,9/20/2019,59,"37,590"
3567 逸昌,9/20/2019,34,"2,450"
3570 大塚,9/20/2019,17,"7,208"
3576 聯合再生,9/20/2019,"2,515","344,367"
3577 泓格,9/20/2019,52,"11,226"
3580 友威科,9/20/2019,39,"2,873"
3581 博磊,9/20/2019,51,"7,140"
3583 辛耘,9/20/2019,81,"9,871"
3587 閎康,9/20/2019,62,"16,029"
3588 通嘉,9/20/2019,46,"6,234"
3591 艾笛森,9/20/2019,125,"9,300"
3593 力銘,9/20/2019,73,"14,485"
3594 磐儀,9/20/2019,64,"10,607"
3596 智易,9/20/2019,193,"41,309"
3605 宏致,9/20/2019,122,"19,166"
3607 谷崧,9/20/2019,121,"16,287"
3609 東林,9/20/2019,30,"5,980"
3611 鼎翰,9/20/2019,42,"16,639"
3615 安可,9/20/2019,68,"14,564"
3617 碩天,9/20/2019,80,"21,123"
3622 洋華,9/20/2019,151,"39,782"
3623 富晶通,9/20/2019,29,"15,720"
3624 光頡,9/20/2019,117,"49,563"
3625 西勝,9/20/2019,82,"11,930"
3628 盈正,9/20/2019,45,"28,032"
3629 地心引力,9/20/2019,16,"4,457"
3630 新鉅科,9/20/2019,185,"60,119"
3631 晟楠,9/20/2019,79,"40,455"
3632 研勤,9/20/2019,58,"7,874"
3642 駿熠電,9/20/2019,34,"2,215"
3645 達邁,9/20/2019,129,"20,126"
3646 艾恩特,9/20/2019,39,"4,335"
3652 精聯,9/20/2019,47,"27,867"
3653 健策,9/20/2019,121,"35,434"
3661 世芯-KY,9/20/2019,60,"1,772"
3663 鑫科,9/20/2019,73,"33,543"
3664 安瑞-KY,9/20/2019,51,"3,692"
3665 貿聯-KY,9/20/2019,118,"4,659"
3666 光耀,9/20/2019,48,"23,191"
3669 圓展,9/20/2019,92,"31,391"
3672 康聯訊,9/20/2019,33,"8,255"
3673 TPK-KY,9/20/2019,406,"80,471"
3675 德微,9/20/2019,44,"24,728"
3679 新至陞,9/20/2019,62,"11,389"
3680 家登,9/20/2019,70,"16,192"
3682 亞太電,9/20/2019,"4,298","549,015"
3684 榮昌,9/20/2019,24,"9,668"
3685 元創精密,9/20/2019,79,"40,162"
3686 達能,9/20/2019,349,"6,171"
3687 歐買尬,9/20/2019,30,"4,369"
3689 湧德,9/20/2019,69,"6,466"
3691 碩禾,9/20/2019,63,"33,524"
3693 營邦,9/20/2019,38,"10,538"
3694 海華,9/20/2019,150,"39,246"
3698 隆達,9/20/2019,519,"84,528"
3701 大眾控,9/20/2019,190,"34,527"
3702 大聯大,9/20/2019,"1,679","137,244"
3703 欣陸,9/20/2019,823,"225,184"
3704 合勤控,9/20/2019,441,"132,921"
3705 永信,9/20/2019,266,"50,945"
3706 神達,9/20/2019,"1,077","162,971"
3707 漢磊,9/20/2019,281,"29,151"
3708 上緯投控,9/20/2019,93,"12,587"
3709 鑫聯大投控,9/20/2019,79,"50,873"
3710 連展投控,9/20/2019,207,"20,865"
3711 日月光投控,9/20/2019,"4,325","685,906"
3712 永崴投控,9/20/2019,246,"72,993"
4102 永日,9/20/2019,42,"11,047"
4104 佳醫,9/20/2019,128,"14,941"
4105 東洋,9/20/2019,248,"28,943"
4106 雃博,9/20/2019,100,"28,104"
4107 邦特,9/20/2019,69,"9,625"
4108 懷特,9/20/2019,163,"33,066"
4109 加捷生醫,9/20/2019,68,"2,588"
4111 濟生,9/20/2019,56,"8,035"
4113 聯上,9/20/2019,211,"45,342"
4114 健喬,9/20/2019,230,"31,109"
4116 明基醫,9/20/2019,44,"19,413"
4119 旭富,9/20/2019,79,"25,236"
4120 友華,9/20/2019,86,"13,166"
4121 優盛,9/20/2019,73,"9,660"
4123 晟德,9/20/2019,407,"50,025"
4126 太醫,9/20/2019,66,"7,323"
4127 天良,9/20/2019,45,"4,220"
4128 中天,9/20/2019,425,"34,578"
4129 聯合,9/20/2019,80,"7,984"
4130 健亞,9/20/2019,105,"38,906"
4131 晶宇,9/20/2019,48,"21,292"
4133 亞諾法,9/20/2019,60,"12,748"
4137 麗豐-KY,9/20/2019,79,"28,056"
4138 曜亞,9/20/2019,30,"11,550"
4139 馬光-KY,9/20/2019,41,"4,555"
4141 龍燈-KY,9/20/2019,171,"51,040"
4142 國光生,9/20/2019,362,"76,650"
4144 康聯-KY,9/20/2019,77,337
4147 中裕,9/20/2019,252,"62,219"
4148 全宇生技-KY,9/20/2019,64,"29,560"
4152 台微體,9/20/2019,64,"8,582"
4153 鈺緯,9/20/2019,74,"20,533"
4154 康樂-KY,9/20/2019,24,"3,375"
4155 訊映,9/20/2019,75,"9,947"
4157 太景*-KY,9/20/2019,716,"248,391"
4160 創源,9/20/2019,24,"7,517"
4161 聿新科,9/20/2019,52,"7,345"
4162 智擎,9/20/2019,146,"49,405"
4163 鐿鈦,9/20/2019,40,"5,794"
4164 承業醫,9/20/2019,141,"37,358"
4167 展旺,9/20/2019,268,"16,722"
4168 醣聯,9/20/2019,76,"7,790"
4171 瑞基,9/20/2019,40,"7,039"
4173 久裕,9/20/2019,44,"21,333"
4174 浩鼎,9/20/2019,188,"27,705"
4175 杏一,9/20/2019,30,"11,704"
4183 福永生技,9/20/2019,23,"7,007"
4188 安克,9/20/2019,52,"26,332"
4190 佐登-KY,9/20/2019,60,"1,458"
4192 杏國,9/20/2019,97,"62,234"
4198 環瑞醫,9/20/2019,42,"11,266"
4205 中華食,9/20/2019,80,"19,669"
4207 環泰,9/20/2019,172,"47,159"
4303 信立,9/20/2019,70,"11,557"
4304 勝昱,9/20/2019,36,"6,297"
4305 世坤,9/20/2019,55,"17,524"
4306 炎洲,9/20/2019,571,"80,099"
4401 東隆興,9/20/2019,120,"26,679"
4402 福大,9/20/2019,45,"7,026"
4406 新昕纖,9/20/2019,51,"9,065"
4413 飛寶企業,9/20/2019,31,"6,925"
4414 如興,9/20/2019,903,"178,635"
4415 台原藥,9/20/2019,43,"13,768"
4416 三圓,9/20/2019,60,"11,129"
4417 金洲,9/20/2019,83,"12,616"
4419 元勝,9/20/2019,32,"13,461"
4420 光明,9/20/2019,40,"17,202"
4426 利勤,9/20/2019,161,"34,620"
4429 聚紡,9/20/2019,34,"8,327"
4430 耀億,9/20/2019,56,"15,353"
4432 銘旺實,9/20/2019,50,"24,501"
4433 興采,9/20/2019,45,"17,515"
4438 廣越,9/20/2019,103,"44,834"
4502 健信,9/20/2019,46,"11,895"
4503 金雨,9/20/2019,39,"6,318"
4506 崇友,9/20/2019,177,"103,949"
4510 高鋒,9/20/2019,108,"19,235"
4513 福裕,9/20/2019,76,"11,762"
4523 永彰,9/20/2019,64,"27,555"
4526 東台,9/20/2019,254,"34,126"
4527 方土霖,9/20/2019,76,"27,089"
4528 江興鍛,9/20/2019,76,"35,796"
4529 淳紳,9/20/2019,83,"21,278"
4530 宏易,9/20/2019,46,"8,077"
4532 瑞智,9/20/2019,506,"185,149"
4533 協易機,9/20/2019,158,"13,681"
4534 慶騰,9/20/2019,91,"18,743"
4535 至興,9/20/2019,75,"31,713"
4536 拓凱,9/20/2019,90,"19,475"
4538 大詠城,9/20/2019,47,"17,267"
4540 全球傳動,9/20/2019,96,"13,093"
4541 晟田,9/20/2019,69,"10,727"
4542 科嶠,9/20/2019,28,"4,927"
4543 萬在,9/20/2019,56,"14,081"
4545 銘鈺,9/20/2019,77,"52,950"
4549 桓達,9/20/2019,42,"11,929"
4550 長佳,9/20/2019,37,"6,132"
4551 智伸科,9/20/2019,81,"14,027"
4552 力達-KY,9/20/2019,100,"47,940"
4554 橙的,9/20/2019,21,"9,090"
4555 氣立,9/20/2019,66,"19,651"
4556 旭然,9/20/2019,41,"13,860"
4557 永新-KY,9/20/2019,39,"12,039"
4560 強信-KY,9/20/2019,66,"27,272"
4561 健椿,9/20/2019,58,"18,038"
4562 穎漢,9/20/2019,67,"16,302"
4563 百德,9/20/2019,39,"18,565"
4564 元翎,9/20/2019,177,"33,056"
4566 時碩工業,9/20/2019,66,"22,618"
4568 科際精密,9/20/2019,30,"7,000"
4571 鈞興-KY,9/20/2019,47,"6,358"
4572 駐龍,9/20/2019,35,"7,820"
4576 大銀微系統,9/20/2019,117,"40,377"
4609 唐鋒,9/20/2019,47,"6,706"
4702 中美實,9/20/2019,225,"95,877"
4706 大恭,9/20/2019,79,"35,719"
4707 磐亞,9/20/2019,286,"32,455"
4711 永純,9/20/2019,61,"12,920"
4712 南璋,9/20/2019,65,"14,052"
4714 永捷,9/20/2019,102,"20,951"
4716 大立,9/20/2019,75,"5,593"
4720 德淵,9/20/2019,88,"29,297"
4721 美琪瑪,9/20/2019,74,"12,812"
4722 國精化,9/20/2019,100,"11,900"
4725 信昌化,9/20/2019,291,"116,791"
4726 永昕,9/20/2019,127,"32,835"
4728 雙美,9/20/2019,54,"14,989"
4729 熒茂,9/20/2019,104,"38,600"
4735 豪展,9/20/2019,33,"8,894"
4736 泰博,9/20/2019,82,"26,149"
4737 華廣,9/20/2019,59,"24,527"
4739 康普,9/20/2019,93,"15,781"
4741 泓瀚,9/20/2019,32,"6,459"
4743 合一,9/20/2019,359,"78,827"
4744 皇將,9/20/2019,46,"5,006"
4745 合富-KY,9/20/2019,73,"18,563"
4746 台耀,9/20/2019,99,"14,903"
4747 強生,9/20/2019,30,"9,501"
4754 國碳科,9/20/2019,18,"5,757"
4755 三福化,9/20/2019,90,"46,379"
4760 勤凱,9/20/2019,29,"3,143"
4763 材料-KY,9/20/2019,51,"27,666"
4764 雙鍵,9/20/2019,76,"7,201"
4766 南寶,9/20/2019,120,"30,521"
4767 誠泰科技,9/20/2019,31,"5,482"
4803 VHQ-KY,9/20/2019,39,"9,282"
4804 大略-KY,9/20/2019,44,"8,765"
4806 昇華,9/20/2019,41,"2,534"
4807 日成-KY,9/20/2019,38,"17,788"
4903 聯光通,9/20/2019,90,93
4904 遠傳,9/20/2019,"3,258","1,073,499"
4905 台聯電,9/20/2019,37,"10,732"
4906 正文,9/20/2019,362,"14,276"
4907 富宇,9/20/2019,118,"9,398"
4908 前鼎,9/20/2019,78,"10,923"
4909 新復興,9/20/2019,93,"11,477"
4911 德英,9/20/2019,55,"13,925"
4912 聯德控股-KY,9/20/2019,47,"19,466"
4915 致伸,9/20/2019,446,"20,356"
4916 事欣科,9/20/2019,83,"8,118"
4919 新唐,9/20/2019,287,"126,873"
4924 欣厚-KY,9/20/2019,37,"2,769"
4927 泰鼎-KY,9/20/2019,189,"2,983"
4930 燦星網,9/20/2019,134,"59,626"
4931 新盛力,9/20/2019,61,"25,088"
4933 友輝,9/20/2019,78,"38,772"
4934 太極,9/20/2019,356,"99,802"
4935 茂林-KY,9/20/2019,130,"23,405"
4938 和碩,9/20/2019,"2,611","102,708"
4939 亞電,9/20/2019,98,"9,135"
4942 嘉彰,9/20/2019,142,"22,493"
4943 康控-KY,9/20/2019,132,"47,303"
4944 兆遠,9/20/2019,207,"90,016"
4946 辣椒,9/20/2019,27,"5,240"
4947 昂寶-KY,9/20/2019,55,"17,466"
4950 牧東,9/20/2019,45,"12,034"
4952 凌通,9/20/2019,108,"39,091"
4953 緯軟,9/20/2019,66,"19,688"
4956 光鋐,9/20/2019,100,"11,007"
4958 臻鼎-KY,9/20/2019,902,"316,354"
4960 誠美材,9/20/2019,665,"62,843"
4961 天鈺,9/20/2019,162,"28,067"
4966 譜瑞-KY,9/20/2019,79,"5,538"
4967 十銓,9/20/2019,68,"5,504"
4968 立積,9/20/2019,61,"5,079"
4971 IET-KY,9/20/2019,36,224
4972 湯石照明,9/20/2019,40,"4,694"
4973 廣穎,9/20/2019,63,"6,253"
4974 亞泰,9/20/2019,72,"19,028"
4976 佳凌,9/20/2019,117,"27,831"
4977 眾達-KY,9/20/2019,66,"11,622"
4979 華星光,9/20/2019,105,"25,099"
4987 科誠,9/20/2019,25,"4,951"
4989 榮科,9/20/2019,153,"99,447"
4991 環宇-KY,9/20/2019,90,"2,325"
4994 傳奇,9/20/2019,110,"35,790"
4995 晶達,9/20/2019,41,"9,907"
4999 鑫禾,9/20/2019,74,"12,336"
5007 三星,9/20/2019,294,"25,765"
5009 榮剛,9/20/2019,466,"17,437"
5011 久陽,9/20/2019,41,"17,328"
5013 強新,9/20/2019,133,"22,038"
5014 建錩,9/20/2019,165,"26,082"
5015 華祺,9/20/2019,60,"12,612"
5016 松和,9/20/2019,49,"11,577"
5102 富強,9/20/2019,64,"28,537"
5201 凱衛,9/20/2019,30,"6,106"
5202 力新,9/20/2019,59,"8,041"
5203 訊連,9/20/2019,83,"15,571"
5205 中茂,9/20/2019,17,390
5206 坤悅,9/20/2019,148,"40,017"
5209 新鼎,9/20/2019,23,"11,861"
5210 寶碩,9/20/2019,63,"27,212"
5211 蒙恬,9/20/2019,32,"7,353"
5212 凌網,9/20/2019,34,"14,699"
5213 亞昕,9/20/2019,346,"130,377"
5215 科嘉-KY,9/20/2019,54,"8,968"
5220 萬達光電,9/20/2019,39,"8,108"
5223 安力-KY,9/20/2019,43,"19,944"
5225 東科-KY,9/20/2019,61,"2,994"
5227 立凱-KY,9/20/2019,241,"1,171"
5230 雷笛克光學,9/20/2019,49,"4,923"
5234 達興材料,9/20/2019,102,"45,069"
5243 乙盛-KY,9/20/2019,168,"59,996"
5245 智晶,9/20/2019,44,"7,448"
5251 天鉞電,9/20/2019,35,"10,993"
5258 虹堡,9/20/2019,89,"15,251"
5259 奕智博,9/20/2019,42,827
5263 智崴,9/20/2019,55,"11,589"
5264 鎧勝-KY,9/20/2019,420,"246,455"
5269 祥碩,9/20/2019,60,"24,458"
5272 笙科,9/20/2019,56,"5,112"
5274 信驊,9/20/2019,34,"9,824"
5276 達輝-KY,9/20/2019,39,"16,321"
5278 尚凡,9/20/2019,14,"5,401"
5281 大峽谷-KY,9/20/2019,37,"14,254"
5283 禾聯碩,9/20/2019,76,"20,911"
5284 jpp-KY,9/20/2019,39,"14,915"
5285 界霖,9/20/2019,94,"17,484"
5287 數字,9/20/2019,42,"6,416"
5288 豐祥-KY,9/20/2019,65,"38,602"
5289 宜鼎,9/20/2019,79,"10,839"
5291 邑昇,9/20/2019,36,"5,710"
5299 杰力,9/20/2019,35,"3,877"
5301 寶得利,9/20/2019,137,"15,831"
5302 太欣,9/20/2019,162,"29,045"
5304 鼎創達,9/20/2019,326,"2,535"
5305 敦南,9/20/2019,312,"18,601"
5306 桂盟,9/20/2019,126,"48,495"
5309 系統電,9/20/2019,151,"13,150"
5310 天剛,9/20/2019,49,"5,208"
5312 寶島科,9/20/2019,60,"13,473"
5314 世紀,9/20/2019,60,"8,283"
5315 光聯,9/20/2019,106,"12,611"
5321 友銓,9/20/2019,31,"5,791"
5324 士開,9/20/2019,106,"12,682"
5328 華容,9/20/2019,172,"63,765"
5340 建榮,9/20/2019,194,"95,208"
5344 立衛,9/20/2019,79,"55,143"
5345 天揚,9/20/2019,60,"22,134"
5347 世界,9/20/2019,"1,638","738,253"
5348 系通,9/20/2019,25,"5,043"
5349 先豐,9/20/2019,224,"41,754"
5351 鈺創,9/20/2019,435,"31,281"
5353 台林,9/20/2019,75,"21,729"
5355 佳總,9/20/2019,166,"11,543"
5356 協益,9/20/2019,103,"8,100"
5364 力麗店,9/20/2019,14,"2,180"
5371 中光電,9/20/2019,434,"22,984"
5381 合正,9/20/2019,180,"26,932"
5383 金利,9/20/2019,49,"16,671"
5386 青雲,9/20/2019,22,"7,083"
5388 中磊,9/20/2019,245,"12,715"
5392 應華,9/20/2019,166,"31,340"
5398 慕康生醫,9/20/2019,49,"9,753"
5403 中菲,9/20/2019,62,"7,719"
5410 國眾,9/20/2019,85,"10,232"
5425 台半,9/20/2019,242,"25,259"
5426 振發,9/20/2019,143,"15,898"
5432 達威,9/20/2019,20,"5,015"
5434 崇越,9/20/2019,181,"19,221"
5438 東友,9/20/2019,112,"25,550"
5439 高技,9/20/2019,85,"11,856"
5443 均豪,9/20/2019,165,"33,230"
5450 寶聯通,9/20/2019,122,"91,698"
5452 佶優,9/20/2019,148,"35,614"
5455 昇益,9/20/2019,65,"1,236"
5457 宣德,9/20/2019,167,"59,995"
5460 同協,9/20/2019,72,"10,652"
5464 霖宏,9/20/2019,71,"27,421"
5465 富驊,9/20/2019,164,"86,050"
5468 凱鈺,9/20/2019,69,"45,689"
5469 瀚宇博,9/20/2019,459,"123,293"
5471 松翰,9/20/2019,167,"17,857"
5474 聰泰,9/20/2019,33,"9,036"
5475 德宏,9/20/2019,173,"10,540"
5478 智冠,9/20/2019,127,"21,605"
5481 新華,9/20/2019,74,"6,251"
5483 中美晶,9/20/2019,586,"60,648"
5484 慧友,9/20/2019,115,"14,753"
5487 通泰,9/20/2019,22,"5,335"
5488 松普,9/20/2019,91,"13,813"
5489 彩富,9/20/2019,102,"35,510"
5490 同亨,9/20/2019,94,"7,677"
5493 三聯,9/20/2019,44,"7,023"
5498 凱崴,9/20/2019,164,"21,994"
5508 永信建,9/20/2019,217,"89,085"
5511 德昌,9/20/2019,113,"22,444"
5512 力麒,9/20/2019,743,"24,698"
5514 三豐,9/20/2019,176,"25,467"
5515 建國,9/20/2019,334,"80,379"
5516 雙喜,9/20/2019,38,"8,528"
5519 隆大,9/20/2019,208,"29,313"
5520 力泰,9/20/2019,60,"22,462"
5521 工信,9/20/2019,347,"15,914"
5522 遠雄,9/20/2019,806,"278,597"
5523 豐謙,9/20/2019,155,"36,669"
5525 順天,9/20/2019,244,"42,470"
5529 志嘉,9/20/2019,124,"41,124"
5530 龍巖,9/20/2019,420,"21,063"
5531 鄉林,9/20/2019,982,"251,673"
5533 皇鼎,9/20/2019,285,"82,008"
5534 長虹,9/20/2019,290,"28,974"
5536 聖暉,9/20/2019,54,"4,390"
5538 東明-KY,9/20/2019,168,"51,491"
5543 崇佑-KY,9/20/2019,35,"2,085"
5601 台聯櫃,9/20/2019,64,"16,931"
5603 陸海,9/20/2019,78,"15,370"
5604 中連貨,9/20/2019,108,"10,376"
5607 遠雄港,9/20/2019,229,"39,516"
5608 四維航,9/20/2019,279,"34,918"
5609 中菲行,9/20/2019,126,"14,788"
5701 劍湖山,9/20/2019,253,"26,950"
5703 亞都,9/20/2019,70,"27,554"
5704 老爺知,9/20/2019,38,"15,117"
5706 鳳凰,9/20/2019,61,"15,230"
5820 日盛金,9/20/2019,"3,711","2,211,575"
5864 致和證,9/20/2019,237,"50,719"
5871 中租-KY,9/20/2019,"1,328","61,677"
5876 上海商銀,9/20/2019,"4,481","167,563"
5878 台名,9/20/2019,25,"9,074"
5880 合庫金,9/20/2019,"12,945","3,582,683"
5902 德記,9/20/2019,94,"60,735"
5903 全家,9/20/2019,223,"119,019"
5904 寶雅,9/20/2019,97,"22,298"
5905 南仁湖,9/20/2019,189,"30,498"
5906 台南-KY,9/20/2019,30,"19,581"
5907 大洋-KY,9/20/2019,195,"98,786"
6005 群益證,9/20/2019,"2,320","70,707"
6015 宏遠證,9/20/2019,355,"34,900"
6016 康和證,9/20/2019,623,"27,785"
6020 大展證,9/20/2019,252,"66,260"
6021 大慶證,9/20/2019,306,"165,510"
6023 元大期,9/20/2019,232,"159,467"
6024 群益期,9/20/2019,176,"99,185"
6026 福邦證,9/20/2019,243,"22,691"
